chapa_original,chapa_normalizada,ocurrencias_en_hoja,caracteristica_asociada,estado_generativo,categoria_riesgo,motivo_estado,mecanismo_observado,patron_abstracto,logica_observada,usar_como_calibracion
mamá del anticristo,mama del anticristo,2,persona vieja,REVISION_EDITORIAL,EDADISMO_CONTEXTO,"En la hoja está asociada a 'persona vieja'; la estructura puede ser reutilizable, pero no esa lógica de edad.",REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
A Cinde le dicen costal de papas.,a cinde le dicen costal de papas,1,,REVISION_EDITORIAL,BODY_SHAMING_POSIBLE,"Puede leerse como burla corporal; conservar para revisión, no como referencia automática.",FORMULA_LE_DICEN,[PERSONA] + 'le dicen' + [IMAGEN/OBJETO INESPERADO],La gracia aparece en el remate: una equivalencia breve transforma a la persona en una imagen concreta.,NO
A Melcocha le dicen hormigabieja.,a melcocha le dicen hormigabieja,1,,REFERENCIA_SEGURA,,,FORMULA_LE_DICEN,[PERSONA] + 'le dicen' + [IMAGEN/OBJETO INESPERADO],La gracia aparece en el remate: una equivalencia breve transforma a la persona en una imagen concreta.,SI
A Cindy le dicen rocola.,a cindy le dicen rocola,1,,REVISION_EDITORIAL,SEXUALIZACION_POR_ASOCIACION,La misma chapa aparece asociada a una explicación sexualizada en otro registro.,FORMULA_LE_DICEN,[PERSONA] + 'le dicen' + [IMAGEN/OBJETO INESPERADO],La gracia aparece en el remate: una equivalencia breve transforma a la persona en una imagen concreta.,NO
A Melcochita le dicen jaula abandonada.,a melcochita le dicen jaula abandonada,1,,REVISION_EDITORIAL,HUMILLACION_DEGRADANTE,Metáfora despectiva fuerte; mejor no usar como referencia automática.,FORMULA_LE_DICEN,[PERSONA] + 'le dicen' + [IMAGEN/OBJETO INESPERADO],La gracia aparece en el remate: una equivalencia breve transforma a la persona en una imagen concreta.,NO
A Sidney le dicen pavo de Navidad.,a sidney le dicen pavo de navidad,1,,REFERENCIA_SEGURA,,,FORMULA_LE_DICEN,[PERSONA] + 'le dicen' + [IMAGEN/OBJETO INESPERADO],La gracia aparece en el remate: una equivalencia breve transforma a la persona en una imagen concreta.,NO
Los gemelos... un par de chupacabras.,los gemelos un par de chupacabras,1,,REFERENCIA_SEGURA,,,EQUIVALENCIA_COLECTIVA,[GRUPO] + 'un par de' + [SER/OBJETO],Toma un grupo reconocible y lo sustituye por una imagen absurda y visual.,NO
Barrabás de ambiente,barrabas de ambiente,2,barba larga,BLOQUEADA,ORIENTACION_SEXUAL_CODIFICADA,Expresión históricamente usada como alusión a orientación sexual; no usar como remate ni patrón.,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
Perro Viejo,perro viejo,1,,REVISION_EDITORIAL,EDADISMO,Usa edad de forma peyorativa.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
Garrapata Vieja,garrapata vieja,2,,REVISION_EDITORIAL,EDADISMO,Usa edad de forma peyorativa.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
Don Cochote,don cochote,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,SI
Grillo con peluca,grillo con peluca,1,,REFERENCIA_SEGURA,,,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,SI
Huaco viejo,huaco viejo,1,,REVISION_EDITORIAL,EDADISMO,Usa edad como parte de la burla.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
Abuelito de Moisés,abuelito de moises,1,,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
Costal de papas,costal de papas,1,,REFERENCIA_SEGURA,,,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
Chancha del estadio nacional,chancha del estadio nacional,1,la pisan 24 jugadores,BLOQUEADA,SEXUALIZACION_MISOGINIA,La explicación asociada sexualiza y degrada a una mujer mediante una metáfora colectiva.,LOCALIZACION_ABSURDA,[SER/REFERENTE] + de/del + [LUGAR ESPECIFICO],La especificidad del lugar crea sorpresa: el referente parece pertenecer a un sitio inesperado.,NO
llanero solitario,llanero solitario,1,monta con plata,BLOQUEADA,SEXUALIZACION,La explicación asociada puede funcionar como insinuación sexual/transactional; conservar solo como histórico.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
rocola,rocola,1,le metes una moneda y te toca lo que quieras,BLOQUEADA,SEXUALIZACION_OBJETIFICACION,La explicación asociada convierte a la persona en objeto disponible a cambio de dinero.,ETIQUETA_MINIMA,[SUSTANTIVO/OBJETO],Apodo ultrabreve: funciona solo si el contexto del rasgo crea una asociación inesperada.,NO
gripe,gripe,1,todas la han tenido,BLOQUEADA,SEXUALIZACION_MISOGINIA,La explicación asociada alude a disponibilidad/promiscuidad sexual.,ETIQUETA_MINIMA,[SUSTANTIVO/OBJETO],Apodo ultrabreve: funciona solo si el contexto del rasgo crea una asociación inesperada.,NO
panetón quemado,paneton quemado,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,SI
senor larva gay,senor larva gay,1,,BLOQUEADA,ORIENTACION_SEXUAL,La orientación sexual aparece explícitamente como objeto de burla.,COMPOSICION_ABSURDA,[REFERENTE] + [MODIFICADORES ESPECIFICOS],Acumula pocos detalles concretos para construir una imagen absurda pero fácil de visualizar.,NO
peinado de gringo,peinado de gringo,1,,BLOQUEADA,NACIONALIDAD_ORIGEN,Usa origen/nacionalidad como componente del apodo.,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
senora lobo de mar gringa,senora lobo de mar gringa,1,pelo rubio,BLOQUEADA,NACIONALIDAD_ORIGEN,Usa origen/nacionalidad como componente del apodo.,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
Basural con permanente,basural con permanente,1,pelo rizado,REVISION_EDITORIAL,HUMILLACION_DEGRADANTE,La metáfora de basura funciona como descalificación de apariencia.,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,NO
Espantapájaro de basural,espantapajaro de basural,1,pelo rizado,REVISION_EDITORIAL,HUMILLACION_DEGRADANTE,La metáfora combina deshumanización y basura.,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
semilla de lenteja,semilla de lenteja,1,bajo,REVISION_EDITORIAL,ESTATURA,Asociada explícitamente a baja estatura; revisar tono antes de reutilizar lógica.,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
espalda de espina de pejerrey,espalda de espina de pejerrey,1,flaco y alto,REVISION_EDITORIAL,COMPLEXION,Asociada a delgadez/altura; conservar solo como referencia editorial revisable.,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
senor lagartija calva,senor lagartija calva,1,Estilo de la cara y calvo,REVISION_EDITORIAL,APARIENCIA,Asociada a calvicie; revisar tono antes de reutilizar.,COMPOSICION_ABSURDA,[REFERENTE] + [MODIFICADORES ESPECIFICOS],Acumula pocos detalles concretos para construir una imagen absurda pero fácil de visualizar.,NO
miel de abeja,miel de abeja,1,persona chata,REFERENCIA_SEGURA,,,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
cabeza de pote muneca de porcelana,cabeza de pote muneca de porcelana,1,calvo,REVISION_EDITORIAL,APARIENCIA,Asociada a calvicie; revisar tono antes de reutilizar.,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
Toledo joven,toledo joven,1,hippie,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DEFORMADA,[REFERENTE CONOCIDO] + [GIRO/DEFORMACION],Reconocimiento inmediato del referente + una deformación o recontextualización inesperada.,NO
Barbie de la huerta perdida,barbie de la huerta perdida,1,mujer joven,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,SI
Monalisa de caja de agua,monalisa de caja de agua,1,mujer joven,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,SI
cenicienta de caja de agua,cenicienta de caja de agua,1,mujer mayor,REVISION_EDITORIAL,EDADISMO,En la hoja está asociada a 'mujer mayor'.,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
aguja,aguja,1,gay,BLOQUEADA,ORIENTACION_SEXUAL,"Aunque la chapa no contiene el término, la característica asociada es 'gay'; no debe inspirar nuevas chapas.",ETIQUETA_MINIMA,[SUSTANTIVO/OBJETO],Apodo ultrabreve: funciona solo si el contexto del rasgo crea una asociación inesperada.,NO
cachetada de satanas,cachetada de satanas,1,,BLOQUEADA,VIOLENCIA,Construcción basada en una agresión física.,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
abuelo de panda,abuelo de panda,1,,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
gusano tierno,gusano tierno,1,"joven, flaco y alto",REVISION_EDITORIAL,APARIENCIA_EDAD,Asociada a juventud y complexión; revisar tono.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
cochero de drácula,cochero de dracula,1,barbon con dientes,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,SI
jack el destripador,jack el destripador,1,flaco,BLOQUEADA,VIOLENCIA_GORE,Referencia explícita a violencia extrema/desmembramiento.,COMPOSICION_ABSURDA,[REFERENTE] + [MODIFICADORES ESPECIFICOS],Acumula pocos detalles concretos para construir una imagen absurda pero fácil de visualizar.,NO
senor conde de montecristo,senor conde de montecristo,1,,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
hombre lobo joven,hombre lobo joven,1,,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DEFORMADA,[REFERENTE CONOCIDO] + [GIRO/DEFORMACION],Reconocimiento inmediato del referente + una deformación o recontextualización inesperada.,NO
sonrisa de cebra,sonrisa de cebra,1,dientes fuertes,REFERENCIA_SEGURA,,,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",SI
chachete triste,chachete triste,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
piojo bomba,piojo bomba,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,SI
perro blanco,perro blanco,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
peinado de iguana,peinado de iguana,1,pelo negro ensortijado,REFERENCIA_SEGURA,,,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",SI
pelo de choclo,pelo de choclo,1,pelo gringo,REFERENCIA_SEGURA,,,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
gallo andino,gallo andino,1,peinado en punta,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
cuchara con boca,cuchara con boca,1,,REFERENCIA_SEGURA,,,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,SI
compadre alpachino,compadre alpachino,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
momia juanita,momia juanita,1,anciana,REVISION_EDITORIAL,EDADISMO_CULTURAL,En la hoja se asocia a 'anciana' y además usa un referente cultural específico.,REFERENCIA_CULTURAL_DEFORMADA,[REFERENTE CONOCIDO] + [GIRO/DEFORMACION],Reconocimiento inmediato del referente + una deformación o recontextualización inesperada.,NO
peinado de coyote,peinado de coyote,1,,REFERENCIA_SEGURA,,,ENCADENAMIENTO_DE,[ELEMENTO] + de/del + [ELEMENTO INESPERADO],"Construye una relación posesiva o de origen imposible, generando una imagen compacta.",NO
lobo andino,lobo andino,1,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
platano con brazos,platano con brazos,1,,REFERENCIA_SEGURA,,,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,SI
gallo viejo,gallo viejo,1,anciano,REVISION_EDITORIAL,EDADISMO,Asociada explícitamente a 'anciano'.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
ampolla con zapatillas,ampolla con zapatillas,1,,REFERENCIA_SEGURA,,,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,SI
